Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
be-shamon.COFFEE珈琲ロースター,5,2 か月前,"富山駅
新幹線やJR在来線、地元ローカル鉄道に路面電車、地元路線バスが一同に利用可能！交通網デザインが素敵です。地元の足や観光客にとても優しい！採算が合わないというだけでトカゲの尻尾ぎりのように街の風景が変わってきた日本ですが、北陸三県はローカル路線がしっかりと守られて素敵です。",富山駅,"
〒930-0001 富山県富山市明輪町１−２２５",Unknown,Unknown,"4.1
(1,366)",Unknown,駅,36.7018268,136.9077552
be-shamon.COFFEE珈琲ロースター,5,2 か月前,"富山駅
新幹線やJR在来線、地元ローカル鉄道に路面電車、地元路線バスが一同に利用可能！交通網デザインが素敵です。地元の足や観光客にとても優しい！採算が合わないというだけでトカゲの尻尾ぎりのように街の風景が変わってきた日本ですが、北陸三県はローカル路線がしっかりと守られて素敵です。",富山駅,"
〒930-0001 富山県富山市明輪町１−２２５",Unknown,Unknown,"4.1
(1,366)",Unknown,駅,36.7018268,136.9077552
Jun Kawabata,5,3 か月前,"鉄道好きとして訪れた富山駅は、魅力的な鉄道の交差点でした。北陸新幹線のターミナルとしての近代的な駅舎が印象的で、広々としたホームは訪れるたびにワクワク感を与えてくれます。

特に、地域鉄道「あいの風とやま鉄道」や「高山本線」の車両が並ぶ光景は、鉄道ファンにとっての至福のひととき。カラフルな車両が日々の地域輸送を支えている様子を間近で観察できました。緑のキハ120系ディーゼルカーや鮮やかな青いラッピング車両など、それぞれが個性的で目を楽しませてくれます。

また、駅の案内表示や時刻表は見やすく、観光地へのアクセスも便利。新幹線利用の観光客だけでなく、地元の人々の日常の足としても機能している駅の雰囲気に触れ、鉄道が地域に深く根付いていることを感じました。",富山駅,"
〒930-0001 富山県富山市明輪町１−２２５",Unknown,Unknown,"4.1
(1,366)",Unknown,駅,36.7018268,136.9077552
Jun Kawabata,5,3 か月前,"鉄道好きとして訪れた富山駅は、魅力的な鉄道の交差点でした。北陸新幹線のターミナルとしての近代的な駅舎が印象的で、広々としたホームは訪れるたびにワクワク感を与えてくれます。

特に、地域鉄道「あいの風とやま鉄道」や「高山本線」の車両が並ぶ光景は、鉄道ファンにとっての至福のひととき。カラフルな車両が日々の地域輸送を支えている様子を間近で観察できました。緑のキハ120系ディーゼルカーや鮮やかな青いラッピング車両など、それぞれが個性的で目を楽しませてくれます。

また、駅の案内表示や時刻表は見やすく、観光地へのアクセスも便利。新幹線利用の観光客だけでなく、地元の人々の日常の足としても機能している駅の雰囲気に触れ、鉄道が地域に深く根付いていることを感じました。",富山駅,"
〒930-0001 富山県富山市明輪町１−２２５",Unknown,Unknown,"4.1
(1,366)",Unknown,駅,36.7018268,136.9077552
森川秀雄,4,4 か月前,駅の近くに宿泊しましたが、駅の施設には沢山の飲食店や、お土産を買えるお店があるので便利でした。新幹線も最速達種別が停まってくれるので便利ですね。東京まで二時間ちょっとでした。但し、新幹線は東海道新幹線ばかりでしたのでそれに比べると運行本数が意外と少ないと思いました。駅からは路面電車も発着しているのですが、運行頻度も高く、大体どこの路面電車も乗り換えは微妙に歩くので、駅直結で乗り換え出来るのは珍しく便利ですし、前述の通り頻繁に運行しているので周辺の観光には重宝しました。,富山駅,"
〒930-0001 富山県富山市明輪町１−２２５",Unknown,Unknown,"4.1
(1,366)",Unknown,駅,36.7018268,136.9077552
森川秀雄,4,4 か月前,駅の近くに宿泊しましたが、駅の施設には沢山の飲食店や、お土産を買えるお店があるので便利でした。新幹線も最速達種別が停まってくれるので便利ですね。東京まで二時間ちょっとでした。但し、新幹線は東海道新幹線ばかりでしたのでそれに比べると運行本数が意外と少ないと思いました。駅からは路面電車も発着しているのですが、運行頻度も高く、大体どこの路面電車も乗り換えは微妙に歩くので、駅直結で乗り換え出来るのは珍しく便利ですし、前述の通り頻繁に運行しているので周辺の観光には重宝しました。,富山駅,"
〒930-0001 富山県富山市明輪町１−２２５",Unknown,Unknown,"4.1
(1,366)",Unknown,駅,36.7018268,136.9077552
只見荘一郎,4,3 か月前,"富山駅は1899年（明治32年）3月に、官設鉄道北陸線の一般駅として開業した歴史のある駅です。現在は西日本旅客鉄道（JR西日本）とあいの風とやま鉄道が乗り入れており、徒歩圏内には富山地方鉄道と富山地方鉄道富山軌道線の始発駅があります。
晩秋の白川郷へ2泊で行って来ました。往路は北陸新幹線経由高山本線というルートです。高山本線にはまだちょっと時間があったので外へ出てびっくりしました。brand new のトラムが走っていたのです。路面電車が走っていることは知っていましたが、まさかこんな最新型が投入されていたとは！全線乗破を考えましたが、さすがに時間が足りません。とりあえず「環状線」にだけ乗って、後ろ髪をひかれる思いで高山本線に乗り込みました。しかし中途半端に終わったmission ほど後味の悪いモノはありません。その後も、ことあるごとに富山の路面電車を思い出していました。
ところが良くしたもので、その１年後に再び富山を訪れる機会があり、乗り残した路面電車全線を乗ることができたのです、ラッキーでした。そう言えば数年前の「離島の仕事」もドタキャンで私に降って来たのでした。どうやら私には「旅の神様」がついているようです。
で神様、「 南」へ行くmission が中途半端に終わっているんですが何とかお助け頂けませんか………？

2025.1.17",富山駅,"
〒930-0001 富山県富山市明輪町１−２２５",Unknown,Unknown,"4.1
(1,366)",Unknown,駅,36.7018268,136.9077552
只見荘一郎,4,3 か月前,"富山駅は1899年（明治32年）3月に、官設鉄道北陸線の一般駅として開業した歴史のある駅です。現在は西日本旅客鉄道（JR西日本）とあいの風とやま鉄道が乗り入れており、徒歩圏内には富山地方鉄道と富山地方鉄道富山軌道線の始発駅があります。
晩秋の白川郷へ2泊で行って来ました。往路は北陸新幹線経由高山本線というルートです。高山本線にはまだちょっと時間があったので外へ出てびっくりしました。brand new のトラムが走っていたのです。路面電車が走っていることは知っていましたが、まさかこんな最新型が投入されていたとは！全線乗破を考えましたが、さすがに時間が足りません。とりあえず「環状線」にだけ乗って、後ろ髪をひかれる思いで高山本線に乗り込みました。しかし中途半端に終わったmission ほど後味の悪いモノはありません。その後も、ことあるごとに富山の路面電車を思い出していました。
ところが良くしたもので、その１年後に再び富山を訪れる機会があり、乗り残した路面電車全線を乗ることができたのです、ラッキーでした。そう言えば数年前の「離島の仕事」もドタキャンで私に降って来たのでした。どうやら私には「旅の神様」がついているようです。
で神様、「 南」へ行くmission が中途半端に終わっているんですが何とかお助け頂けませんか………？

2025.1.17",富山駅,"
〒930-0001 富山県富山市明輪町１−２２５",Unknown,Unknown,"4.1
(1,366)",Unknown,駅,36.7018268,136.9077552
チャー坊,5,3 か月前,"鉄道を利用して氷見に行きましたよ。
まずは『あいの風富山鉄道』で富山駅から高岡駅に行き、高岡駅で『JR氷見線』に乗り継ぎ氷見駅まで行くんです。
富山駅で高岡駅までの列車を待っていると、なんと「キハ40、47」気動車が1番線に入ってきましたよ〜🤩
懐かしいですね〜😭
氷見線では現役で活躍しているんですが、あいの風富山鉄道の近代的車両と昭和を代表するキハ40、47の対比が珍しく、鉄道マニアではないのですが思わず写真を撮っちゃいました😁",富山駅,"
〒930-0001 富山県富山市明輪町１−２２５",Unknown,Unknown,"4.1
(1,366)",Unknown,駅,36.7018268,136.9077552
チャー坊,5,3 か月前,"鉄道を利用して氷見に行きましたよ。
まずは『あいの風富山鉄道』で富山駅から高岡駅に行き、高岡駅で『JR氷見線』に乗り継ぎ氷見駅まで行くんです。
富山駅で高岡駅までの列車を待っていると、なんと「キハ40、47」気動車が1番線に入ってきましたよ〜🤩
懐かしいですね〜😭
氷見線では現役で活躍しているんですが、あいの風富山鉄道の近代的車両と昭和を代表するキハ40、47の対比が珍しく、鉄道マニアではないのですが思わず写真を撮っちゃいました😁",富山駅,"
〒930-0001 富山県富山市明輪町１−２２５",Unknown,Unknown,"4.1
(1,366)",Unknown,駅,36.7018268,136.9077552
