Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
國包篤志,3,1 か月前,平日に訪問。西島三重子の名曲「千登勢橋」の舞台です。日本初の道路(目白通り)と道路(明治通り)が立体交差する場所です。,千登世橋,"
〒171-0032 東京都豊島区雑司が谷３丁目１−１",Unknown,Unknown,"4.0
(38)",お店やスポットの電話番号を追加する,橋,35.7602652,139.6594305
國包篤志,3,1 か月前,平日に訪問。西島三重子の名曲「千登勢橋」の舞台です。日本初の道路(目白通り)と道路(明治通り)が立体交差する場所です。,千登世橋,"
〒171-0032 東京都豊島区雑司が谷３丁目１−１",Unknown,Unknown,"4.0
(38)",お店やスポットの電話番号を追加する,橋,35.7602652,139.6594305
R.A中村,5,11 か月前,"橋の上に目白通りを通し、明治通りを跨ぐ立体交差になっている。
1932年（昭和7年）の完成で道路の立体交差としては日本初ともいわれており、今なお現役であるため土木技術的価値も高く「東京都の著名橋」にも指定されている。
都電荒川線が橋の下から学習院下まで明治通りと並んで走っている。",千登世橋,"
〒171-0032 東京都豊島区雑司が谷３丁目１−１",Unknown,Unknown,"4.0
(38)",お店やスポットの電話番号を追加する,橋,35.7602652,139.6594305
R.A中村,5,11 か月前,"橋の上に目白通りを通し、明治通りを跨ぐ立体交差になっている。
1932年（昭和7年）の完成で道路の立体交差としては日本初ともいわれており、今なお現役であるため土木技術的価値も高く「東京都の著名橋」にも指定されている。
都電荒川線が橋の下から学習院下まで明治通りと並んで走っている。",千登世橋,"
〒171-0032 東京都豊島区雑司が谷３丁目１−１",Unknown,Unknown,"4.0
(38)",お店やスポットの電話番号を追加する,橋,35.7602652,139.6594305
鳳御門,4,1 年前,"こちらは2023年11月22日の訪問となります。”千歳橋”ではないのですね。

日本初の立体交差（道路）らしく、東京でも有名な橋らしいですね。下を都電荒川線が走っているのが見下ろせます。

色んな角度から橋を見てみたいな、と回ってみるとちょっと道が混乱するかもしれません。見た目のイメージほどシンプルに、辿り着きたい場所に行く事はできないかもしれない……。そこもまた歴史のある昔（から）の橋って感じで推せる。",千登世橋,"
〒171-0032 東京都豊島区雑司が谷３丁目１−１",Unknown,Unknown,"4.0
(38)",お店やスポットの電話番号を追加する,橋,35.7602652,139.6594305
鳳御門,4,1 年前,"こちらは2023年11月22日の訪問となります。”千歳橋”ではないのですね。

日本初の立体交差（道路）らしく、東京でも有名な橋らしいですね。下を都電荒川線が走っているのが見下ろせます。

色んな角度から橋を見てみたいな、と回ってみるとちょっと道が混乱するかもしれません。見た目のイメージほどシンプルに、辿り着きたい場所に行く事はできないかもしれない……。そこもまた歴史のある昔（から）の橋って感じで推せる。",千登世橋,"
〒171-0032 東京都豊島区雑司が谷３丁目１−１",Unknown,Unknown,"4.0
(38)",お店やスポットの電話番号を追加する,橋,35.7602652,139.6594305
松崎優,5,2 年前,"目白駅から目白通りを学習院方面に向かい道なりに歩くと7.〜8分で到着
この橋は目白通りと明治通りの交差したところにかけられた。道路と道路が交差したところに掛けられた橋としては日本で最初と言われています。
ここを訪れてここで西島三重子さんの千登世橋という歌を聴くと学生時代の頃を思い出します。（残念だが私は学習院が母校ではない）
この辺は大変お気に入りでたまに訪れて鬼子母神の参拝や早稲田方面の散策をしていますこの辺には富士見坂や目白不動など散策するには事欠きません一度は訪れてみてください。",千登世橋,"
〒171-0032 東京都豊島区雑司が谷３丁目１−１",Unknown,Unknown,"4.0
(38)",お店やスポットの電話番号を追加する,橋,35.7602652,139.6594305
松崎優,5,2 年前,"目白駅から目白通りを学習院方面に向かい道なりに歩くと7.〜8分で到着
この橋は目白通りと明治通りの交差したところにかけられた。道路と道路が交差したところに掛けられた橋としては日本で最初と言われています。
ここを訪れてここで西島三重子さんの千登世橋という歌を聴くと学生時代の頃を思い出します。（残念だが私は学習院が母校ではない）
この辺は大変お気に入りでたまに訪れて鬼子母神の参拝や早稲田方面の散策をしていますこの辺には富士見坂や目白不動など散策するには事欠きません一度は訪れてみてください。",千登世橋,"
〒171-0032 東京都豊島区雑司が谷３丁目１−１",Unknown,Unknown,"4.0
(38)",お店やスポットの電話番号を追加する,橋,35.7602652,139.6594305
jakkie n (ダブルヘリカルズ),4,4 か月前,"明治通りと目白通りの交差点にかかる橋。
雑司ヶ谷と目白を繋ぐ形であります。
1932年（昭和7年）の完成で道路の立体交差としては日本初ともいわれており、今なお現役であるため土木技術的価値も高く東京都の著名橋に指定されています。
橋下には都電も走っているので、とてもフォトジェニックな場所です。",千登世橋,"
〒171-0032 東京都豊島区雑司が谷３丁目１−１",Unknown,Unknown,"4.0
(38)",お店やスポットの電話番号を追加する,橋,35.7602652,139.6594305
jakkie n (ダブルヘリカルズ),4,4 か月前,"明治通りと目白通りの交差点にかかる橋。
雑司ヶ谷と目白を繋ぐ形であります。
1932年（昭和7年）の完成で道路の立体交差としては日本初ともいわれており、今なお現役であるため土木技術的価値も高く東京都の著名橋に指定されています。
橋下には都電も走っているので、とてもフォトジェニックな場所です。",千登世橋,"
〒171-0032 東京都豊島区雑司が谷３丁目１−１",Unknown,Unknown,"4.0
(38)",お店やスポットの電話番号を追加する,橋,35.7602652,139.6594305
