Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
三輪哲朗,4,3 年前,夕方の漁港は誰もいないので、朝の活気はありませんが、ロマンチックな雰囲気を楽しむ事が出来ます。いい雰囲気になった所で、近くの　お寿司屋さん？　焼肉屋さん？,氷見漁港,"
〒935-0012 富山県氷見市比美町４３５","
0766-74-0170",https://www1.kaiho.mlit.go.jp/KAN9/tori-naru/toyama/16_himi-ko.htm,"3.9
(73)",営業時間を追加,〒935-0012 富山県氷見市比美町４３５,36.8544126,136.9902568
三輪哲朗,4,3 年前,夕方の漁港は誰もいないので、朝の活気はありませんが、ロマンチックな雰囲気を楽しむ事が出来ます。いい雰囲気になった所で、近くの　お寿司屋さん？　焼肉屋さん？,氷見漁港,"
〒935-0012 富山県氷見市比美町４３５","
0766-74-0170",https://www1.kaiho.mlit.go.jp/KAN9/tori-naru/toyama/16_himi-ko.htm,"3.9
(73)",営業時間を追加,〒935-0012 富山県氷見市比美町４３５,36.8544126,136.9902568
革命的社会生活不適応者,4,3 か月前,競りの様子を見学しながら水揚げされた新鮮な魚が食えます。素晴らしい。,氷見漁港,"
〒935-0012 富山県氷見市比美町４３５","
0766-74-0170",https://www1.kaiho.mlit.go.jp/KAN9/tori-naru/toyama/16_himi-ko.htm,"3.9
(73)",営業時間を追加,〒935-0012 富山県氷見市比美町４３５,36.8544126,136.9902568
革命的社会生活不適応者,4,3 か月前,競りの様子を見学しながら水揚げされた新鮮な魚が食えます。素晴らしい。,氷見漁港,"
〒935-0012 富山県氷見市比美町４３５","
0766-74-0170",https://www1.kaiho.mlit.go.jp/KAN9/tori-naru/toyama/16_himi-ko.htm,"3.9
(73)",営業時間を追加,〒935-0012 富山県氷見市比美町４３５,36.8544126,136.9902568
N Junichi,5,5 年前,"寒ブリで有名な港です
場内には食堂もあります
安くてうまいらしいですが混んでいて入れませんでした",氷見漁港,"
〒935-0012 富山県氷見市比美町４３５","
0766-74-0170",https://www1.kaiho.mlit.go.jp/KAN9/tori-naru/toyama/16_himi-ko.htm,"3.9
(73)",営業時間を追加,〒935-0012 富山県氷見市比美町４３５,36.8544126,136.9902568
N Junichi,5,5 年前,"寒ブリで有名な港です
場内には食堂もあります
安くてうまいらしいですが混んでいて入れませんでした",氷見漁港,"
〒935-0012 富山県氷見市比美町４３５","
0766-74-0170",https://www1.kaiho.mlit.go.jp/KAN9/tori-naru/toyama/16_himi-ko.htm,"3.9
(73)",営業時間を追加,〒935-0012 富山県氷見市比美町４３５,36.8544126,136.9902568
杉田慶三,3,3 年前,所謂漁港で至って普通です。2階に人気の食堂が有りスマホに順番待ち等を知らせてくれる(店頭にてお席の予約をしたら)サービスがあります、お昼時は1H待ちなんてざらなので早めのお越しが良いと思います。,氷見漁港,"
〒935-0012 富山県氷見市比美町４３５","
0766-74-0170",https://www1.kaiho.mlit.go.jp/KAN9/tori-naru/toyama/16_himi-ko.htm,"3.9
(73)",営業時間を追加,〒935-0012 富山県氷見市比美町４３５,36.8544126,136.9902568
杉田慶三,3,3 年前,所謂漁港で至って普通です。2階に人気の食堂が有りスマホに順番待ち等を知らせてくれる(店頭にてお席の予約をしたら)サービスがあります、お昼時は1H待ちなんてざらなので早めのお越しが良いと思います。,氷見漁港,"
〒935-0012 富山県氷見市比美町４３５","
0766-74-0170",https://www1.kaiho.mlit.go.jp/KAN9/tori-naru/toyama/16_himi-ko.htm,"3.9
(73)",営業時間を追加,〒935-0012 富山県氷見市比美町４３５,36.8544126,136.9902568
ジャージに眼鏡頭はタオル,5,4 年前,活気溢れる漁港、広い駐車場が埋る勢い、カッコいいッス🐷 …,氷見漁港,"
〒935-0012 富山県氷見市比美町４３５","
0766-74-0170",https://www1.kaiho.mlit.go.jp/KAN9/tori-naru/toyama/16_himi-ko.htm,"3.9
(73)",営業時間を追加,〒935-0012 富山県氷見市比美町４３５,36.8544126,136.9902568
ジャージに眼鏡頭はタオル,5,4 年前,活気溢れる漁港、広い駐車場が埋る勢い、カッコいいッス🐷 …,氷見漁港,"
〒935-0012 富山県氷見市比美町４３５","
0766-74-0170",https://www1.kaiho.mlit.go.jp/KAN9/tori-naru/toyama/16_himi-ko.htm,"3.9
(73)",営業時間を追加,〒935-0012 富山県氷見市比美町４３５,36.8544126,136.9902568
Shinji514,4,8 か月前,"旅行で日曜日の正午に来店。30分位待って出陣。外は漁港ですが、店内はレストランで綺麗。ロボットが料理を運んでくれます。
とても美味しかったです。",氷見漁港,"
〒935-0012 富山県氷見市比美町４３５","
0766-74-0170",https://www1.kaiho.mlit.go.jp/KAN9/tori-naru/toyama/16_himi-ko.htm,"3.9
(73)",営業時間を追加,〒935-0012 富山県氷見市比美町４３５,36.8544126,136.9902568
