Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
きらえり,5,4 週間前,"いろんな花が咲いています。

2025/03/27ソメイヨシノは4分咲きくらいです。",東山公園,"
〒153-0043 東京都目黒区東山３丁目２４−２３","
03-5722-9775",http://www.city.meguro.tokyo.jp/shisetsu/shisetsu/koen/higashiyama.html,"3.7
(212)",Unknown,〒153-0043 東京都目黒区東山３丁目２４−２３,35.5242075,138.3343908
きらえり,5,4 週間前,"いろんな花が咲いています。

2025/03/27ソメイヨシノは4分咲きくらいです。",東山公園,"
〒153-0043 東京都目黒区東山３丁目２４−２３","
03-5722-9775",http://www.city.meguro.tokyo.jp/shisetsu/shisetsu/koen/higashiyama.html,"3.7
(212)",Unknown,〒153-0043 東京都目黒区東山３丁目２４−２３,35.5242075,138.3343908
りゅう,4,3 年前,この公園は2つの区画からなります。元々の公園は国土地理院の跡地でその碑があり、芝生や遊具などがあります。あとから整備された拡張部はかなり広く、植物が植えてある区画と芝生、池、遊具が設置してある区画などに分かれています。たまに植物を見に散歩に行きます。季節に応じて様々な花が咲いていて楽しめます。,東山公園,"
〒153-0043 東京都目黒区東山３丁目２４−２３","
03-5722-9775",http://www.city.meguro.tokyo.jp/shisetsu/shisetsu/koen/higashiyama.html,"3.7
(212)",Unknown,〒153-0043 東京都目黒区東山３丁目２４−２３,35.5242075,138.3343908
りゅう,4,3 年前,この公園は2つの区画からなります。元々の公園は国土地理院の跡地でその碑があり、芝生や遊具などがあります。あとから整備された拡張部はかなり広く、植物が植えてある区画と芝生、池、遊具が設置してある区画などに分かれています。たまに植物を見に散歩に行きます。季節に応じて様々な花が咲いていて楽しめます。,東山公園,"
〒153-0043 東京都目黒区東山３丁目２４−２３","
03-5722-9775",http://www.city.meguro.tokyo.jp/shisetsu/shisetsu/koen/higashiyama.html,"3.7
(212)",Unknown,〒153-0043 東京都目黒区東山３丁目２４−２３,35.5242075,138.3343908
Mr Gon,4,6 年前,駅や246号線の喧騒が嘘のような静けさです。広場も広々としており近隣の皆さんには恵まれた環境ですね。,東山公園,"
〒153-0043 東京都目黒区東山３丁目２４−２３","
03-5722-9775",http://www.city.meguro.tokyo.jp/shisetsu/shisetsu/koen/higashiyama.html,"3.7
(212)",Unknown,〒153-0043 東京都目黒区東山３丁目２４−２３,35.5242075,138.3343908
Mr Gon,4,6 年前,駅や246号線の喧騒が嘘のような静けさです。広場も広々としており近隣の皆さんには恵まれた環境ですね。,東山公園,"
〒153-0043 東京都目黒区東山３丁目２４−２３","
03-5722-9775",http://www.city.meguro.tokyo.jp/shisetsu/shisetsu/koen/higashiyama.html,"3.7
(212)",Unknown,〒153-0043 東京都目黒区東山３丁目２４−２３,35.5242075,138.3343908
佐藤龍雄,3,1 年前,芝生広場、さまざまな樹木、子供達には遊具も完備され素晴らしい公園です。,東山公園,"
〒153-0043 東京都目黒区東山３丁目２４−２３","
03-5722-9775",http://www.city.meguro.tokyo.jp/shisetsu/shisetsu/koen/higashiyama.html,"3.7
(212)",Unknown,〒153-0043 東京都目黒区東山３丁目２４−２３,35.5242075,138.3343908
佐藤龍雄,3,1 年前,芝生広場、さまざまな樹木、子供達には遊具も完備され素晴らしい公園です。,東山公園,"
〒153-0043 東京都目黒区東山３丁目２４−２３","
03-5722-9775",http://www.city.meguro.tokyo.jp/shisetsu/shisetsu/koen/higashiyama.html,"3.7
(212)",Unknown,〒153-0043 東京都目黒区東山３丁目２４−２３,35.5242075,138.3343908
J,4,7 年前,広くて綺麗で好きな公園。これくらいの大きさは地域にあると幸せ,東山公園,"
〒153-0043 東京都目黒区東山３丁目２４−２３","
03-5722-9775",http://www.city.meguro.tokyo.jp/shisetsu/shisetsu/koen/higashiyama.html,"3.7
(212)",Unknown,〒153-0043 東京都目黒区東山３丁目２４−２３,35.5242075,138.3343908
J,4,7 年前,広くて綺麗で好きな公園。これくらいの大きさは地域にあると幸せ,東山公園,"
〒153-0043 東京都目黒区東山３丁目２４−２３","
03-5722-9775",http://www.city.meguro.tokyo.jp/shisetsu/shisetsu/koen/higashiyama.html,"3.7
(212)",Unknown,〒153-0043 東京都目黒区東山３丁目２４−２３,35.5242075,138.3343908
3104 yoshi,4,4 年前,"八重桜見に何気に散歩中　偶然見つけました。
昭和５３年までここに国土地理院があったの知りませんでした。
当時　地形図等ここで作成したいたのでしょうか？
地味ですが、ちょっと知識得た感。",東山公園,"
〒153-0043 東京都目黒区東山３丁目２４−２３","
03-5722-9775",http://www.city.meguro.tokyo.jp/shisetsu/shisetsu/koen/higashiyama.html,"3.7
(212)",Unknown,〒153-0043 東京都目黒区東山３丁目２４−２３,35.5242075,138.3343908
3104 yoshi,4,4 年前,"八重桜見に何気に散歩中　偶然見つけました。
昭和５３年までここに国土地理院があったの知りませんでした。
当時　地形図等ここで作成したいたのでしょうか？
地味ですが、ちょっと知識得た感。",東山公園,"
〒153-0043 東京都目黒区東山３丁目２４−２３","
03-5722-9775",http://www.city.meguro.tokyo.jp/shisetsu/shisetsu/koen/higashiyama.html,"3.7
(212)",Unknown,〒153-0043 東京都目黒区東山３丁目２４−２３,35.5242075,138.3343908
