Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
39T93,5,6 年前,      6 年前,ウォーターパール,"
〒141-0033 東京都品川区西品川１丁目１７−１９","
03-5740-6561",https://www.waterpearl.co.jp/,"4.0
(5)",Unknown,〒141-0033 東京都品川区西品川１丁目１７−１９,35.6122122,139.4421047
39T93,5,6 年前,      6 年前,ウォーターパール,"
〒141-0033 東京都品川区西品川１丁目１７−１９","
03-5740-6561",https://www.waterpearl.co.jp/,"4.0
(5)",Unknown,〒141-0033 東京都品川区西品川１丁目１７−１９,35.6122122,139.4421047
Bryan Ng,5,3 年前,      3 年前,ウォーターパール,"
〒141-0033 東京都品川区西品川１丁目１７−１９","
03-5740-6561",https://www.waterpearl.co.jp/,"4.0
(5)",Unknown,〒141-0033 東京都品川区西品川１丁目１７−１９,35.6122122,139.4421047
Bryan Ng,5,3 年前,      3 年前,ウォーターパール,"
〒141-0033 東京都品川区西品川１丁目１７−１９","
03-5740-6561",https://www.waterpearl.co.jp/,"4.0
(5)",Unknown,〒141-0033 東京都品川区西品川１丁目１７−１９,35.6122122,139.4421047
長谷川マリ,4,6 年前,     6 年前,ウォーターパール,"
〒141-0033 東京都品川区西品川１丁目１７−１９","
03-5740-6561",https://www.waterpearl.co.jp/,"4.0
(5)",Unknown,〒141-0033 東京都品川区西品川１丁目１７−１９,35.6122122,139.4421047
長谷川マリ,4,6 年前,     6 年前,ウォーターパール,"
〒141-0033 東京都品川区西品川１丁目１７−１９","
03-5740-6561",https://www.waterpearl.co.jp/,"4.0
(5)",Unknown,〒141-0033 東京都品川区西品川１丁目１７−１９,35.6122122,139.4421047
Yuji Ohno,1,7 年前,      7 年前,ウォーターパール,"
〒141-0033 東京都品川区西品川１丁目１７−１９","
03-5740-6561",https://www.waterpearl.co.jp/,"4.0
(5)",Unknown,〒141-0033 東京都品川区西品川１丁目１７−１９,35.6122122,139.4421047
Yuji Ohno,1,7 年前,      7 年前,ウォーターパール,"
〒141-0033 東京都品川区西品川１丁目１７−１９","
03-5740-6561",https://www.waterpearl.co.jp/,"4.0
(5)",Unknown,〒141-0033 東京都品川区西品川１丁目１７−１９,35.6122122,139.4421047
ぶちたけ,5,8 年前,     8 年前,ウォーターパール,"
〒141-0033 東京都品川区西品川１丁目１７−１９","
03-5740-6561",https://www.waterpearl.co.jp/,"4.0
(5)",Unknown,〒141-0033 東京都品川区西品川１丁目１７−１９,35.6122122,139.4421047
ぶちたけ,5,8 年前,     8 年前,ウォーターパール,"
〒141-0033 東京都品川区西品川１丁目１７−１９","
03-5740-6561",https://www.waterpearl.co.jp/,"4.0
(5)",Unknown,〒141-0033 東京都品川区西品川１丁目１７−１９,35.6122122,139.4421047
