Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
松田美穂子,4,1 週間前,"※2025年度（令和七年度）の文京区あじさいまつりは6/7(土)〜6/15(日)だそうです。
白山神社の裏手にあるとても静かな公園です。公園内にはたくさんの種類のあじさいが植えられています。訪れたのは5月半ば過ぎだったのでまだ見頃を迎えておらず、花はチラホラ咲いているだけでしたが、見頃にはきっと色鮮やかに様々な種類が咲いてとても綺麗なんだろうなぁと思いました。また、公園内はブランコや滑り台などの遊具と、男女それぞれのトイレ、多目的トイレが設置されており、それほど大きくない公園ですが、施設が充実していると感じました。ただ草木が多いのと、ちょうど虫が羽化する時期が重なったんだと思いますが、蚊のような小さな虫がたくさん密集して飛んでいて、ちょっとわずらわしい感じでした😅夏には蚊にも注意が必要なのではないかと思います。白山神社では毎年〝紫陽花祭〟が、開催されているようで、ポスターが飾られていました。今年は6/8（土）〜6/16（日）のようですので、こちらの公園内のあじさいも合わせて楽しむことができるのではないかと思います。徒歩の方は東洋大学の裏手の門からすぐのところにあるので、目印になると思います。",白山公園,"
〒113-0001 東京都文京区白山５丁目３１","
03-5803-1252",http://www.city.bunkyo.lg.jp/bosai/midori/kuritukouen/kouen/hakusan.html,"4.1
(106)",Unknown,〒113-0001 東京都文京区白山５丁目３１,36.7121281,138.2575492
松田美穂子,4,1 週間前,"※2025年度（令和七年度）の文京区あじさいまつりは6/7(土)〜6/15(日)だそうです。
白山神社の裏手にあるとても静かな公園です。公園内にはたくさんの種類のあじさいが植えられています。訪れたのは5月半ば過ぎだったのでまだ見頃を迎えておらず、花はチラホラ咲いているだけでしたが、見頃にはきっと色鮮やかに様々な種類が咲いてとても綺麗なんだろうなぁと思いました。また、公園内はブランコや滑り台などの遊具と、男女それぞれのトイレ、多目的トイレが設置されており、それほど大きくない公園ですが、施設が充実していると感じました。ただ草木が多いのと、ちょうど虫が羽化する時期が重なったんだと思いますが、蚊のような小さな虫がたくさん密集して飛んでいて、ちょっとわずらわしい感じでした😅夏には蚊にも注意が必要なのではないかと思います。白山神社では毎年〝紫陽花祭〟が、開催されているようで、ポスターが飾られていました。今年は6/8（土）〜6/16（日）のようですので、こちらの公園内のあじさいも合わせて楽しむことができるのではないかと思います。徒歩の方は東洋大学の裏手の門からすぐのところにあるので、目印になると思います。",白山公園,"
〒113-0001 東京都文京区白山５丁目３１","
03-5803-1252",http://www.city.bunkyo.lg.jp/bosai/midori/kuritukouen/kouen/hakusan.html,"4.1
(106)",Unknown,〒113-0001 東京都文京区白山５丁目３１,36.7121281,138.2575492
河内のこーちゃん,4,10 か月前,"令和6年6月16日。
天気は良くないですが、令和6年6月8日から6月16日まで開催されている、文京あじさいまつりに来ました。
白山神社境内から白山公園にかけて、3,000株が植えられているそうです。
すでに満開の時期が過ぎていましたが、なかなか見事な紫陽花です。",白山公園,"
〒113-0001 東京都文京区白山５丁目３１","
03-5803-1252",http://www.city.bunkyo.lg.jp/bosai/midori/kuritukouen/kouen/hakusan.html,"4.1
(106)",Unknown,〒113-0001 東京都文京区白山５丁目３１,36.7121281,138.2575492
河内のこーちゃん,4,10 か月前,"令和6年6月16日。
天気は良くないですが、令和6年6月8日から6月16日まで開催されている、文京あじさいまつりに来ました。
白山神社境内から白山公園にかけて、3,000株が植えられているそうです。
すでに満開の時期が過ぎていましたが、なかなか見事な紫陽花です。",白山公園,"
〒113-0001 東京都文京区白山５丁目３１","
03-5803-1252",http://www.city.bunkyo.lg.jp/bosai/midori/kuritukouen/kouen/hakusan.html,"4.1
(106)",Unknown,〒113-0001 東京都文京区白山５丁目３１,36.7121281,138.2575492
zzz (zzz),5,2 年前,"白山神社の裏の公園です。
6月は紫陽花が見れてとても綺麗です。
写真も沢山撮れます！
紫陽花の種類も、何種類かあり楽しめる公園です。
遊具も少なく落ち着いた公園で綺麗でした！
また行きたいです。",白山公園,"
〒113-0001 東京都文京区白山５丁目３１","
03-5803-1252",http://www.city.bunkyo.lg.jp/bosai/midori/kuritukouen/kouen/hakusan.html,"4.1
(106)",Unknown,〒113-0001 東京都文京区白山５丁目３１,36.7121281,138.2575492
zzz (zzz),5,2 年前,"白山神社の裏の公園です。
6月は紫陽花が見れてとても綺麗です。
写真も沢山撮れます！
紫陽花の種類も、何種類かあり楽しめる公園です。
遊具も少なく落ち着いた公園で綺麗でした！
また行きたいです。",白山公園,"
〒113-0001 東京都文京区白山５丁目３１","
03-5803-1252",http://www.city.bunkyo.lg.jp/bosai/midori/kuritukouen/kouen/hakusan.html,"4.1
(106)",Unknown,〒113-0001 東京都文京区白山５丁目３１,36.7121281,138.2575492
Hara Peco,4,10 か月前,"白山神社と併設されている感じです。
遊具もひと通りあります。
トイレも綺麗でした👍 …",白山公園,"
〒113-0001 東京都文京区白山５丁目３１","
03-5803-1252",http://www.city.bunkyo.lg.jp/bosai/midori/kuritukouen/kouen/hakusan.html,"4.1
(106)",Unknown,〒113-0001 東京都文京区白山５丁目３１,36.7121281,138.2575492
Hara Peco,4,10 か月前,"白山神社と併設されている感じです。
遊具もひと通りあります。
トイレも綺麗でした👍 …",白山公園,"
〒113-0001 東京都文京区白山５丁目３１","
03-5803-1252",http://www.city.bunkyo.lg.jp/bosai/midori/kuritukouen/kouen/hakusan.html,"4.1
(106)",Unknown,〒113-0001 東京都文京区白山５丁目３１,36.7121281,138.2575492
masayoshi oda,5,1 年前,"紫陽花のきれいな公園
ひと目で見渡せる広さです。
ベンチ、トイレもありひと通りは揃っています。季節によって紫陽花や藤棚の藤が咲き綺麗です。
藤棚の木陰のベンチに座って紫陽花を眺めてお茶🍵最高でした(^^) …",白山公園,"
〒113-0001 東京都文京区白山５丁目３１","
03-5803-1252",http://www.city.bunkyo.lg.jp/bosai/midori/kuritukouen/kouen/hakusan.html,"4.1
(106)",Unknown,〒113-0001 東京都文京区白山５丁目３１,36.7121281,138.2575492
masayoshi oda,5,1 年前,"紫陽花のきれいな公園
ひと目で見渡せる広さです。
ベンチ、トイレもありひと通りは揃っています。季節によって紫陽花や藤棚の藤が咲き綺麗です。
藤棚の木陰のベンチに座って紫陽花を眺めてお茶🍵最高でした(^^) …",白山公園,"
〒113-0001 東京都文京区白山５丁目３１","
03-5803-1252",http://www.city.bunkyo.lg.jp/bosai/midori/kuritukouen/kouen/hakusan.html,"4.1
(106)",Unknown,〒113-0001 東京都文京区白山５丁目３１,36.7121281,138.2575492
