Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
珠生,5,2 週間前,遠見山公園の帰り道に、通り過ぎようと思ったけど、日本庭園の文字が気になって駐車場もあったので行ってみました。　平日で誰もいてなくて、まるで絵のような静かで清々しいところでした。　池の中を覗くとおたまじゃくしがいっぱいで、久しぶりに見たらこんなんだったかなぁと思って可愛かったです。,うしぶか公園,"
〒863-1901 熊本県天草市牛深町１９４２","
0969-73-2111",http://www.t-island.jp/p/spot/detail/22,"4.0
(119)",Unknown,〒863-1901 熊本県天草市牛深町１９４２,32.1863768,130.0264945
珠生,5,2 週間前,遠見山公園の帰り道に、通り過ぎようと思ったけど、日本庭園の文字が気になって駐車場もあったので行ってみました。　平日で誰もいてなくて、まるで絵のような静かで清々しいところでした。　池の中を覗くとおたまじゃくしがいっぱいで、久しぶりに見たらこんなんだったかなぁと思って可愛かったです。,うしぶか公園,"
〒863-1901 熊本県天草市牛深町１９４２","
0969-73-2111",http://www.t-island.jp/p/spot/detail/22,"4.0
(119)",Unknown,〒863-1901 熊本県天草市牛深町１９４２,32.1863768,130.0264945
MOYU AO,5,8 か月前,展望がサイコー。須口浦、天草灘、牛深湾が一望できる。併設されている日本庭園も見事。遠見稲荷近くの展望台、遠見山桜木展望所もさらに眺めが良い。とんびが青空を気持ちよさそうに飛んでいた。,うしぶか公園,"
〒863-1901 熊本県天草市牛深町１９４２","
0969-73-2111",http://www.t-island.jp/p/spot/detail/22,"4.0
(119)",Unknown,〒863-1901 熊本県天草市牛深町１９４２,32.1863768,130.0264945
MOYU AO,5,8 か月前,展望がサイコー。須口浦、天草灘、牛深湾が一望できる。併設されている日本庭園も見事。遠見稲荷近くの展望台、遠見山桜木展望所もさらに眺めが良い。とんびが青空を気持ちよさそうに飛んでいた。,うしぶか公園,"
〒863-1901 熊本県天草市牛深町１９４２","
0969-73-2111",http://www.t-island.jp/p/spot/detail/22,"4.0
(119)",Unknown,〒863-1901 熊本県天草市牛深町１９４２,32.1863768,130.0264945
Kira,5,4 か月前,"あまくさロマンティックファンタジー2024で伺いました。
水面に写り、とても幻想的な雰囲気でした。 …",うしぶか公園,"
〒863-1901 熊本県天草市牛深町１９４２","
0969-73-2111",http://www.t-island.jp/p/spot/detail/22,"4.0
(119)",Unknown,〒863-1901 熊本県天草市牛深町１９４２,32.1863768,130.0264945
Kira,5,4 か月前,"あまくさロマンティックファンタジー2024で伺いました。
水面に写り、とても幻想的な雰囲気でした。 …",うしぶか公園,"
〒863-1901 熊本県天草市牛深町１９４２","
0969-73-2111",http://www.t-island.jp/p/spot/detail/22,"4.0
(119)",Unknown,〒863-1901 熊本県天草市牛深町１９４２,32.1863768,130.0264945
ローカル雅,5,2 年前,皆様見て頂きありがとうございます😊初めて行きましたが、綺麗でした。ここに着く前に病院前のイルミは22時迄だったから飛ばして21時についたのについた頃に消灯🤣せっかくならばと思いハイヤー大橋に向かい堪能してまだ時間間に合うと思い行って良かったです。行く前に一度確認してみてください。トイレ等有ります。 …,うしぶか公園,"
〒863-1901 熊本県天草市牛深町１９４２","
0969-73-2111",http://www.t-island.jp/p/spot/detail/22,"4.0
(119)",Unknown,〒863-1901 熊本県天草市牛深町１９４２,32.1863768,130.0264945
ローカル雅,5,2 年前,皆様見て頂きありがとうございます😊初めて行きましたが、綺麗でした。ここに着く前に病院前のイルミは22時迄だったから飛ばして21時についたのについた頃に消灯🤣せっかくならばと思いハイヤー大橋に向かい堪能してまだ時間間に合うと思い行って良かったです。行く前に一度確認してみてください。トイレ等有ります。 …,うしぶか公園,"
〒863-1901 熊本県天草市牛深町１９４２","
0969-73-2111",http://www.t-island.jp/p/spot/detail/22,"4.0
(119)",Unknown,〒863-1901 熊本県天草市牛深町１９４２,32.1863768,130.0264945
IRUKA RU-,4,2 年前,"日本庭園のライトアップは幻想的
最上層から眺めるハイヤ大橋は全景が見渡せて見所あります",うしぶか公園,"
〒863-1901 熊本県天草市牛深町１９４２","
0969-73-2111",http://www.t-island.jp/p/spot/detail/22,"4.0
(119)",Unknown,〒863-1901 熊本県天草市牛深町１９４２,32.1863768,130.0264945
IRUKA RU-,4,2 年前,"日本庭園のライトアップは幻想的
最上層から眺めるハイヤ大橋は全景が見渡せて見所あります",うしぶか公園,"
〒863-1901 熊本県天草市牛深町１９４２","
0969-73-2111",http://www.t-island.jp/p/spot/detail/22,"4.0
(119)",Unknown,〒863-1901 熊本県天草市牛深町１９４２,32.1863768,130.0264945
落合絵美,5,2 年前,すっごく大きな滑り台があります！滑り台用のマットもあって、子どもが大喜びです！とっても広くて駐車場やトイレも充実しています！,うしぶか公園,"
〒863-1901 熊本県天草市牛深町１９４２","
0969-73-2111",http://www.t-island.jp/p/spot/detail/22,"4.0
(119)",Unknown,〒863-1901 熊本県天草市牛深町１９４２,32.1863768,130.0264945
落合絵美,5,2 年前,すっごく大きな滑り台があります！滑り台用のマットもあって、子どもが大喜びです！とっても広くて駐車場やトイレも充実しています！,うしぶか公園,"
〒863-1901 熊本県天草市牛深町１９４２","
0969-73-2111",http://www.t-island.jp/p/spot/detail/22,"4.0
(119)",Unknown,〒863-1901 熊本県天草市牛深町１９４２,32.1863768,130.0264945
Sada San (さださん),4,3 か月前,"イルミネーション点灯
日本庭園のライトアップ良い感じです。",うしぶか公園,"
〒863-1901 熊本県天草市牛深町１９４２","
0969-73-2111",http://www.t-island.jp/p/spot/detail/22,"4.0
(119)",Unknown,〒863-1901 熊本県天草市牛深町１９４２,32.1863768,130.0264945
Sada San (さださん),4,3 か月前,"イルミネーション点灯
日本庭園のライトアップ良い感じです。",うしぶか公園,"
〒863-1901 熊本県天草市牛深町１９４２","
0969-73-2111",http://www.t-island.jp/p/spot/detail/22,"4.0
(119)",Unknown,〒863-1901 熊本県天草市牛深町１９４２,32.1863768,130.0264945
foou,4,5 年前,"のどかで、散歩等 良い場所です
後少しで 藤の花が、満開になりそうです🥰 …",うしぶか公園,"
〒863-1901 熊本県天草市牛深町１９４２","
0969-73-2111",http://www.t-island.jp/p/spot/detail/22,"4.0
(119)",Unknown,〒863-1901 熊本県天草市牛深町１９４２,32.1863768,130.0264945
foou,4,5 年前,"のどかで、散歩等 良い場所です
後少しで 藤の花が、満開になりそうです🥰 …",うしぶか公園,"
〒863-1901 熊本県天草市牛深町１９４２","
0969-73-2111",http://www.t-island.jp/p/spot/detail/22,"4.0
(119)",Unknown,〒863-1901 熊本県天草市牛深町１９４２,32.1863768,130.0264945
